date,Interval,volume
14-12-2025,04:00,2.814029374
14-12-2025,04:30,5.628058748
14-12-2025,05:00,2.814029374
14-12-2025,05:30,2.814029374
14-12-2025,06:00,2.814029374
14-12-2025,06:30,3.939641123
14-12-2025,07:00,3.939641123
14-12-2025,07:30,3.517536717
14-12-2025,08:00,6.834071336
14-12-2025,08:30,8.09033445
14-12-2025,09:00,13.36663953
14-12-2025,09:30,16.53242257
14-12-2025,10:00,15.82891523
14-12-2025,10:30,13.36663953
14-12-2025,11:00,19.34645195
14-12-2025,11:30,14.42190054
14-12-2025,12:00,19.69820562
14-12-2025,12:30,15.47716156
14-12-2025,13:00,15.82891523
14-12-2025,13:30,18.29119093
14-12-2025,14:00,18.29119093
14-12-2025,14:30,15.67816365
14-12-2025,15:00,16.53242257
14-12-2025,15:30,12.31137851
14-12-2025,16:00,10.05010491
14-12-2025,16:30,13.36663953
14-12-2025,17:00,13.26613848
14-12-2025,17:30,9.145595465
14-12-2025,18:00,11.2561175
14-12-2025,18:30,15.12540788
14-12-2025,19:00,9.497349137
14-12-2025,19:30,12.46213008
14-12-2025,20:00,8.09033445
14-12-2025,20:30,8.793841793
14-12-2025,21:00,8.442088121
14-12-2025,21:30,8.442088121
14-12-2025,22:00,7.879282247
14-12-2025,22:30,6.331566091
14-12-2025,23:00,11.2561175
14-12-2025,23:30,3.376835249
